time,lower,upper,prediction,ground_truth
1970--4--11.375,27.3818424361,34.0367839516,31.6090327821,36.5
1970--4--11.4166666667,27.3168438855,33.8238820332,31.409793156,36.4
1970--4--11.4583333333,27.3443612263,33.7123112224,31.3110209404,36.3
1970--4--11.5,27.2681920893,33.5007636067,31.1150396531,36.2
1970--4--11.5416666667,27.2893442719,33.3892688153,31.0192555275,36.1
1970--4--11.5833333333,27.3067665758,33.277896628,30.9203440383,36.0
1970--4--11.625,27.2180866615,33.067441717,30.7244271997,35.9
1970--4--11.6666666667,27.2218951147,32.9587198609,30.6287069175,35.8
1970--4--11.7083333333,27.1211263078,32.7506107894,30.4328443378,35.7
1970--4--11.75,27.1156207569,32.6435159144,31.737189506,35.6
1970--4--11.7916666667,27.1060168017,32.5369957933,31.6369671906,35.5
1970--4--11.8333333333,26.9928775258,32.3309187778,31.436745376,35.3
1970--4--11.875,26.9761598782,32.2253396154,29.8219623192,35.2
1970--4--11.9166666667,26.8564472556,32.0201100034,29.622206475,35.2
1970--4--11.9583333333,26.8335377914,31.9159213387,29.5275815701,35.2
1970--4--12,26.8074869638,31.8124951462,30.9378230701,35.2
1970--4--12.0416666667,26.6744820417,31.6110910427,30.7377688812,35.8
1970--4--12.0833333333,26.6422478386,31.5115245635,30.64054056,36.4
1970--4--12.125,26.6060376116,31.4151869406,30.540786279,37.1
1970--4--12.1666666667,26.4656400483,31.2227396927,30.3422154159,37.9
1970--4--12.2083333333,26.4207048143,31.1354209982,30.2436676855,38.4
1970--4--12.25,26.3711427649,31.051813738,30.1474644915,38.9
1970--4--12.2916666667,26.2178476946,30.8717768158,29.9492336898,39.6
1970--4--12.3333333333,26.1582251055,30.7978641188,29.851481459,40.5
1970--4--12.375,26.0903938915,30.7316002161,29.7541861106,41.0
1970--4--12.4166666667,25.9179252441,30.5697459764,29.5592324679,41.4
1970--4--12.4583333333,25.8405114285,30.512490137,29.462284049,41.7
1970--4--12.5,25.7589360345,30.4583373138,29.365419228,42.0
1970--4--12.5416666667,25.5744198507,30.3068894034,29.1687250358,42.4
1970--4--12.5833333333,25.4844050926,30.2603238278,29.0753097874,42.7
1970--4--12.625,25.3913725443,30.2164530967,28.9790620651,43.0
1970--4--12.6666666667,25.2953166943,30.1752506257,28.882991366,43.3
1970--4--12.7083333333,25.0974835132,30.0363002164,28.6870993567,43.6
1970--4--12.75,24.9945405076,30.0013368658,28.5941501989,43.6
1970--4--12.7916666667,24.8930888664,29.9652887548,28.4983909773,43.6
1970--4--12.8333333333,24.7930700281,29.9282095051,28.4026682755,43.6
1970--4--12.875,24.5938179462,29.7903254781,28.206982069,43.6
1970--4--12.9166666667,24.4938799436,29.7528094995,28.1139973653,43.6
1970--4--12.9583333333,24.3940776054,29.7146818293,28.0184432071,43.6
1970--4--13,24.2943749582,29.6759678079,27.9229255535,43.6
1970--4--13.0416666667,24.0935433146,29.5370060202,27.7274443786,43.7
1970--4--13.0833333333,23.9894377106,29.499815423,27.6346998617,43.8
1970--4--13.125,23.8852668155,29.4627925363,27.5395003368,43.9
1970--4--13.1666666667,23.7804538878,29.4260739597,27.4443873428,44.0
1970--4--13.2083333333,23.5744292839,29.2897845076,27.2493610959,44.1
1970--4--13.25,23.4663970403,29.2548485196,27.156933558,44.2
1970--4--13.2916666667,23.3572294624,29.2202651738,27.0621455953,44.3
1970--4--13.3333333333,23.246944069,29.1860126288,26.9674454153,44.3
1970--4--13.375,23.1369574255,29.151004068,26.8727306573,44.2
1970--4--13.4166666667,23.0285870869,29.1142324716,26.7802654002,44.2
1970--4--13.4583333333,22.8041293382,28.9795520047,26.5855858672,44.1
1970--4--13.5,22.6788624883,28.9441999925,26.4909426981,44.0
1970--4--13.5416666667,22.5530799557,28.9072931559,26.3962330031,43.9
1970--4--13.5833333333,22.4262618733,28.8688814342,29.0200542526,43.9
1970--4--13.625,22.3013428545,28.8296629812,28.9505752159,43.8
1970--4--13.6666666667,22.1757611983,28.7889690488,28.8786351733,43.7
1970--4--13.7083333333,21.9535821379,28.6466649251,28.7052452906,43.6
1970--4--13.75,21.8285312017,28.6038901728,28.6321097606,43.6
1970--4--13.7916666667,21.70509712,28.5605307716,28.558431732,42.5
1970--4--13.8333333333,21.5882585161,28.5076392839,28.4677535543,42.2
1970--4--13.875,21.4698503525,28.451836984,28.3810999435,41.8
